,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,natal,-5.79,-35.21,30.0,66,75,7.7,BR,1603902800
314,debre tabor,11.85,38.02,11.81,65,11,1.31,ET,1603903047
315,buraydah,26.33,43.98,26.0,22,0,2.6,SA,1603903047
316,birpur,26.52,87.02,22.95,68,0,1.94,IN,1603903047
317,skjervoy,70.03,20.97,0.0,66,20,4.1,NO,1603903047
318,milkovo,54.72,158.62,-0.59,98,74,1.21,RU,1603903048
319,dingle,11.0,122.67,24.8,86,82,1.45,PH,1603903048
320,san jose,37.34,-121.89,18.89,32,75,0.17,US,1603902841
321,kaeo,-35.1,173.78,16.11,94,72,1.41,NZ,1603903048
322,dunedin,-45.87,170.5,10.0,82,98,3.3,NZ,1603903048
323,santa cruz,-17.8,-63.17,32.0,52,40,12.9,BO,1603903048
324,cayenne,4.93,-52.33,31.0,62,75,7.2,GF,1603903048
325,gouyave,12.16,-61.73,30.0,74,40,8.7,GD,1603903049
326,doka,13.52,35.77,29.9,24,0,2.56,SD,1603903049
327,bambous virieux,-20.34,57.76,23.33,73,85,3.13,MU,1603903050
328,north ogden,41.31,-111.96,5.56,38,1,1.45,US,1603903050
329,la ronge,55.1,-105.28,-6.0,85,90,2.6,CA,1603903050
330,iskateley,67.68,53.15,2.27,98,100,5.59,RU,1603903050
331,tilichiki,60.47,166.1,-6.17,90,0,3.2,RU,1603902958
332,lagoa,39.05,-27.98,17.77,70,9,4.45,PT,1603903051
333,biu,10.61,12.19,27.1,30,4,2.03,NG,1603903051
334,fare,-16.7,-151.02,26.95,79,48,8.34,PF,1603903051
335,kysyl-syr,63.9,122.76,-18.33,92,2,1.46,RU,1603903051
336,brainerd,46.36,-94.2,2.0,74,75,4.1,US,1603903051
337,vaitape,-16.52,-151.75,27.15,78,87,8.16,PF,1603903051
338,san francisco,37.77,-122.42,16.67,59,1,1.5,US,1603902954
339,kutum,14.2,24.67,28.64,18,68,7.09,SD,1603903052
340,ormara,25.21,64.64,26.0,64,0,3.9,PK,1603903052
341,gigmoto,13.78,124.39,26.81,82,41,1.94,PH,1603903052
342,shingu,33.73,135.98,14.12,82,42,2.91,JP,1603903052
343,vanimo,-2.67,141.3,25.79,82,100,2.08,PG,1603902930
344,vila do maio,15.13,-23.22,32.0,55,0,6.7,CV,1603903052
345,broome,42.25,-75.83,9.44,93,90,2.6,US,1603903052
346,ostrovnoy,68.05,39.51,3.69,89,100,5.09,RU,1603902907
347,ryotsu,38.08,138.43,14.75,76,38,7.47,JP,1603902832
348,buala,-8.14,159.59,26.83,79,84,0.73,SB,1603903054
349,harper,4.38,-7.72,27.01,79,70,3.42,LR,1603903054
350,acapulco,16.86,-99.89,29.0,79,75,1.0,MX,1603903054
351,hals,57.0,10.31,8.33,86,15,1.34,DK,1603903054
352,piney green,34.72,-77.32,25.56,61,40,2.6,US,1603903054
353,meulaboh,4.14,96.13,25.25,84,100,1.35,ID,1603902969
354,walla walla,46.06,-118.34,13.33,65,1,0.72,US,1603902995
355,otavi,-19.65,17.33,26.64,28,66,1.71,NA,1603903054
356,penzance,50.12,-5.54,11.0,81,75,9.3,GB,1603903054
357,sola,-13.88,167.55,26.54,80,3,8.08,VU,1603903054
358,mamallapuram,12.63,80.17,26.39,82,17,5.95,IN,1603903054
359,ucluelet,48.93,-125.55,12.22,100,90,3.1,CA,1603902929
360,ola,59.58,151.28,-1.29,86,0,2.18,RU,1603902786
361,san martin,-33.08,-68.47,19.0,22,20,2.6,AR,1603903056
362,bac lieu,9.29,105.72,25.79,84,100,4.81,VN,1603903056
363,sindor,62.86,51.89,3.2,95,100,4.98,RU,1603903056
364,ballitoville,-29.54,31.21,25.0,78,0,2.6,ZA,1603903056
365,chontalpa,17.7,-93.52,28.48,77,19,1.91,MX,1603903056
366,rio branco,-9.97,-67.81,30.0,66,75,5.7,BR,1603902861
367,dakar,14.69,-17.44,33.0,46,1,1.0,SN,1603902994
368,celestun,20.87,-90.4,28.66,70,14,3.81,MX,1603902909
369,jumla,29.27,82.18,7.99,63,6,1.76,NP,1603903057
370,murray bridge,-35.12,139.27,12.22,82,94,0.45,AU,1603903057
371,padang,-0.95,100.35,25.6,71,84,1.79,ID,1603903057
372,barguzin,53.62,109.62,-1.77,91,79,3.57,RU,1603903058
373,osoyoos,49.03,-119.45,1.67,80,89,1.4,CA,1603903058
374,izmalkovo,52.69,37.96,5.08,70,0,3.32,RU,1603903058
375,irati,-25.47,-50.65,29.63,19,0,2.69,BR,1603903058
376,port hedland,-20.32,118.57,22.0,88,40,3.6,AU,1603903058
377,terrak,65.09,12.37,8.0,75,0,5.1,NO,1603903058
378,nemuro,43.32,145.57,11.38,73,77,8.57,JP,1603903059
379,visnes,59.36,5.22,11.11,81,75,12.3,NO,1603903060
380,svay rieng,11.09,105.8,24.75,83,99,2.98,KH,1603903060
381,nipawin,53.37,-104.0,-3.0,92,90,3.1,CA,1603903060
382,mincivan,39.03,46.72,14.29,70,35,0.66,AZ,1603903060
383,catia la mar,10.6,-67.03,28.89,65,11,4.6,VE,1603903060
384,saint-augustin,51.23,-58.65,0.71,74,0,3.57,CA,1603903060
